anchor_product_id,recommended_product_id,co_orders,anchor_orders,recommended_orders,support,confidence_anchor_to_recommended,confidence_recommended_to_anchor,lift
386eebb43722ab502f04f7900bd2451b,9e10ae46a3021a02f1692448ef9fa1db,1,18,17,1.051215204776722e-05,0.05555555555555555,0.058823529411764705,310.87581699346407
2a5806f10d0f00e5ad032dd2e3c8806e,41b43381a92451746dc1374dbbd4c43e,1,51,6,1.051215204776722e-05,0.0196078431372549,0.16666666666666666,310.87581699346407
5c692818d313aa12864b48ac0c2472c2,b01d34f6d2545269d348181768eca049,1,22,14,1.051215204776722e-05,0.045454545454545456,0.07142857142857142,308.85714285714283
0fa81e7123fd0ebe03adbbe99d912827,4293865e4ead3d446609086b4cfedb4f,1,22,14,1.051215204776722e-05,0.045454545454545456,0.07142857142857142,308.85714285714283
9bb8ca338e5588c361e34eae02e8fad6,b8a0d73b2a06e7910d9864dccdb0cda2,3,32,29,3.1536456143301656e-05,0.09375,0.10344827586206896,307.5258620689655
9ad75bd7267e5c724cb42c71ac56ca72,cad2db5e318d7283a234c517b2f28a42,2,39,16,2.102430409553444e-05,0.05128205128205128,0.125,304.8974358974359
5a0c21ad6b82a1b61856e48ec959764d,fe9dfbe7f974621789683b7b78be2a16,1,12,26,1.051215204776722e-05,0.08333333333333333,0.038461538461538464,304.8974358974359
91442659f31ec0f0fc73215e77854fac,c708ba7c6269161f89ce0683cdd7c432,1,13,24,1.051215204776722e-05,0.07692307692307693,0.041666666666666664,304.8974358974359
ea20f928ceaa7f146fe62a0cc8413ee5,eb8c629f70275fd1c4f809116cce1efc,1,7,45,1.051215204776722e-05,0.14285714285714285,0.022222222222222223,301.9936507936508
719d571299707561c34ba04ab867b32a,e9b2560544c293e02f2b966041e10f24,1,29,11,1.051215204776722e-05,0.034482758620689655,0.09090909090909091,298.2068965517241
283dc451ad3918badb976d56ff887289,42a2bd596fda1baef5719cb74f73030c,2,32,20,2.102430409553444e-05,0.0625,0.1,297.275
10adb53d8faa890ca7c2f0cbcb68d777,4025ee582ef6b8c478af3b44cf89054b,1,20,16,1.051215204776722e-05,0.05,0.0625,297.275
964093075b6885bfcc6520dd216e4d8f,c2ece64199af7a53793ed9612a89a8cd,1,10,32,1.051215204776722e-05,0.1,0.03125,297.275
438b5ad4eda7949fae4a4b834a69bcd6,cec09725da5ed01471d9a505e7389d37,1,5,64,1.051215204776722e-05,0.2,0.015625,297.275
086351823300e0339f6955b27998c186,ed5122a6a757a4fea8f32a6fb95a5135,1,23,14,1.051215204776722e-05,0.043478260869565216,0.07142857142857142,295.42857142857144
4293865e4ead3d446609086b4cfedb4f,87d780fa7d2cf3710aa02dc4ca8db985,1,14,23,1.051215204776722e-05,0.07142857142857142,0.043478260869565216,295.42857142857144
014a8a503291921f7b004a5215bb3c36,dd6a505f83dd3c6326aa9856519e0978,2,18,36,2.102430409553444e-05,0.1111111111111111,0.05555555555555555,293.60493827160496
1600dcf1cea8c0c83702e07b577ab231,ff55834c0b3272853dfe62340f2bb91b,1,36,9,1.051215204776722e-05,0.027777777777777776,0.1111111111111111,293.60493827160496
013ee64977aaa6b2b25475095162e0e9,f6fa93875f4a7dac03e0a22143f4d815,1,13,25,1.051215204776722e-05,0.07692307692307693,0.04,292.70153846153846
a19b6951c75da43aad691622dd2f6abe,ef66e63137bdd1b2e44aa968646fc1e3,1,25,13,1.051215204776722e-05,0.04,0.07692307692307693,292.70153846153846
83b92639fffd1d55c9e04c77c86d8d2c,b0c8da302d49498d2ce6be8c631e4e20,1,13,25,1.051215204776722e-05,0.07692307692307693,0.04,292.70153846153846
5d6bea33648f018dbb563f3a2fab09f3,810e2944bca9850b934e1570ba372e7d,3,38,26,3.1536456143301656e-05,0.07894736842105263,0.11538461538461539,288.8502024291498
3af4f5bb8b0616387fe23646fa94e256,a02d0123079f4ae96001ba2010d1a2df,1,6,55,1.051215204776722e-05,0.16666666666666666,0.01818181818181818,288.26666666666665
