anchor_category,recommended_category,co_orders,anchor_orders,recommended_orders,support,confidence_anchor_to_recommended,confidence_recommended_to_anchor,lift
market_place,utilidades_domesticas,2,274,5743,2.102430409553444e-05,0.0072992700729927005,0.00034825004353125546,0.12090631438336229
bebidas,utilidades_domesticas,2,287,5743,2.102430409553444e-05,0.006968641114982578,0.00034825004353125546,0.11542972174578839
bebidas,beleza_saude,3,287,8648,3.1536456143301656e-05,0.010452961672473868,0.0003469010175763182,0.11498257839721254
alimentos_bebidas,esporte_lazer,2,221,7528,2.102430409553444e-05,0.00904977375565611,0.00026567481402763017,0.11435798058289776
construcao_ferramentas_iluminacao,ferramentas_jardim,1,242,3447,1.051215204776722e-05,0.004132231404958678,0.0002901073397156948,0.11403855790278766
cama_mesa_banho,moveis_quarto,1,9271,90,1.051215204776722e-05,0.00010786322942508899,0.011111111111111112,0.11400903654166517
cama_mesa_banho,moveis_decoracao,70,9271,6303,0.0007358506433437054,0.007550426059756229,0.011105822624147232,0.11395477236434881
market_place,perfumaria,1,274,3088,1.051215204776722e-05,0.0036496350364963502,0.0003238341968911917,0.11242956015279301
telefonia,telefonia_fixa,1,4092,212,1.051215204776722e-05,0.00024437927663734115,0.0047169811320754715,0.10965713126394806
cama_mesa_banho,construcao_ferramentas_jardim,2,9271,190,2.102430409553444e-05,0.00021572645885017797,0.010526315789473684,0.1080085609342091
brinquedos,moveis_cozinha_area_de_servico_jantar_e_jardim,1,3804,241,1.051215204776722e-05,0.0002628811777076761,0.004149377593360996,0.1037649820455428
automotivo,construcao_ferramentas_construcao,3,3809,736,3.1536456143301656e-05,0.0007876082961407193,0.004076086956521739,0.10179837227618797
construcao_ferramentas_seguranca,informatica_acessorios,1,158,6529,1.051215204776722e-05,0.006329113924050633,0.00015316281206922958,0.09221564548431438
bebidas,esporte_lazer,2,287,7528,2.102430409553444e-05,0.006968641114982578,0.00026567481402763017,0.08805962964745785
automotivo,bebidas,1,3809,287,1.051215204776722e-05,0.00026253609871357313,0.003484320557491289,0.0870192822244766
alimentos,eletronicos,1,441,2517,1.051215204776722e-05,0.0022675736961451248,0.0003972983710766786,0.0857011325255834
fashion_bolsas_e_acessorios,instrumentos_musicais,1,1821,611,1.051215204776722e-05,0.0005491488193300384,0.0016366612111292963,0.08549824694799983
moveis_decoracao,pcs,1,6303,177,1.051215204776722e-05,0.00015865460891638903,0.005649717514124294,0.08526833693219353
bebes,moveis_sala,1,2808,414,1.051215204776722e-05,0.00035612535612535614,0.0024154589371980675,0.08182969294080406
beleza_saude,market_place,2,8648,274,2.102430409553444e-05,0.00023126734505087883,0.0072992700729927005,0.08029197080291971
casa_construcao,eletronicos,1,483,2517,1.051215204776722e-05,0.002070393374741201,0.0003972983710766786,0.07824886013205441
construcao_ferramentas_construcao,pet_shop,1,736,1688,1.051215204776722e-05,0.001358695652173913,0.0005924170616113745,0.07656990521327015
cama_mesa_banho,market_place,2,9271,274,2.102430409553444e-05,0.00021572645885017797,0.0072992700729927005,0.0748964473631377
alimentos,beleza_saude,3,441,8648,3.1536456143301656e-05,0.006802721088435374,0.0003469010175763182,0.07482993197278912
industria_comercio_e_negocios,utilidades_domesticas,1,231,5743,1.051215204776722e-05,0.004329004329004329,0.00017412502176562773,0.07170634229662612
ferramentas_jardim,moveis_decoracao,16,3447,6303,0.00016819443276427552,0.004641717435451117,0.0025384737426622245,0.07005510014272472
casa_construcao,utilidades_domesticas,2,483,5743,2.102430409553444e-05,0.004140786749482402,0.00034825004353125546,0.06858867524025107
bebes,livros_interesse_geral,1,2808,495,1.051215204776722e-05,0.00035612535612535614,0.00202020202020202,0.06843937955049066
ferramentas_jardim,moveis_sala,1,3447,414,1.051215204776722e-05,0.0002901073397156948,0.0024154589371980675,0.06666021983689521
brinquedos,papelaria,6,3804,2264,6.307291228660331e-05,0.0015772870662460567,0.00265017667844523,0.06627392404498891
cama_mesa_banho,construcao_ferramentas_seguranca,1,9271,158,1.051215204776722e-05,0.00010786322942508899,0.006329113924050633,0.06494185625791053
bebes,moveis_decoracao,12,2808,6303,0.00012614582457320662,0.004273504273504274,0.0019038553069966682,0.06449784460255664
moveis_decoracao,utilidades_domesticas,24,6303,5743,0.00025229164914641325,0.0038077106139933364,0.0041790005223750655,0.0630715471509591
moveis_cozinha_area_de_servico_jantar_e_jardim,moveis_decoracao,1,241,6303,1.051215204776722e-05,0.004149377593360996,0.00015865460891638903,0.06262446322405915
eletronicos,eletroportateis,1,2517,608,1.051215204776722e-05,0.0003972983710766786,0.001644736842105263,0.06216151224306296
bebes,cama_mesa_banho,17,2808,9271,0.00017870658481204272,0.006054131054131054,0.0018336749002265129,0.06212030837206115
brinquedos,moveis_sala,1,3804,414,1.051215204776722e-05,0.0002628811777076761,0.0024154589371980675,0.06040425283327491
climatizacao,informatica_acessorios,1,246,6529,1.051215204776722e-05,0.0040650406504065045,0.00015316281206922958,0.059227934904559645
livros_tecnicos,moveis_decoracao,1,256,6303,1.051215204776722e-05,0.00390625,0.00015865460891638903,0.05895506108202443
bebes,fashion_bolsas_e_acessorios,3,2808,1821,3.1536456143301656e-05,0.0010683760683760685,0.0016474464579901153,0.055811355646611
casa_construcao,cool_stuff,1,483,3556,1.051215204776722e-05,0.002070393374741201,0.00028121484814398203,0.055385933901119504
consoles_games,pet_shop,1,1018,1688,1.051215204776722e-05,0.0009823182711198428,0.0005924170616113745,0.05535898844495759
cool_stuff,livros_interesse_geral,1,3556,495,1.051215204776722e-05,0.00028121484814398203,0.00202020202020202,0.05404324459442569
ferramentas_jardim,utilidades_domesticas,11,3447,5743,0.00011563367252543941,0.003191180736872643,0.001915375239421905,0.05285924449542413
climatizacao,esporte_lazer,1,246,7528,1.051215204776722e-05,0.0040650406504065045,0.00013283740701381508,0.05136811729435042
cama_mesa_banho,moveis_sala,2,9271,414,2.102430409553444e-05,0.00021572645885017797,0.004830917874396135,0.04956914632246312
brinquedos,cool_stuff,7,3804,3556,7.358506433437053e-05,0.001840168243953733,0.001968503937007874,0.04922708793892877
brinquedos,consoles_games,2,3804,1018,2.102430409553444e-05,0.0005257623554153522,0.0019646365422396855,0.049130374603095904
moveis_decoracao,moveis_escritorio,4,6303,1254,4.204860819106888e-05,0.0006346184356655561,0.003189792663476874,0.04814193185645376
fashion_bolsas_e_acessorios,papelaria,2,1821,2264,2.102430409553444e-05,0.001098297638660077,0.0008833922261484099,0.04614790537564302
cama_mesa_banho,eletrodomesticos_2,1,9271,227,1.051215204776722e-05,0.00010786322942508899,0.004405286343612335,0.04520182065528575
casa_conforto,relogios_presentes,1,392,5493,1.051215204776722e-05,0.002551020408163265,0.0001820498816675769,0.044178676385901165
beleza_saude,livros_tecnicos,1,8648,256,1.051215204776722e-05,0.00011563367252543941,0.00390625,0.04296875
beleza_saude,perfumaria,12,8648,3088,0.00012614582457320662,0.0013876040703052729,0.0038860103626943004,0.042746113989637305
cama_mesa_banho,moveis_cozinha_area_de_servico_jantar_e_jardim,1,9271,241,1.051215204776722e-05,0.00010786322942508899,0.004149377593360996,0.04257598874999944
cama_mesa_banho,construcao_ferramentas_iluminacao,1,9271,242,1.051215204776722e-05,0.00010786322942508899,0.004132231404958678,0.042400054912189525
